group,names,scores,logfoldchanges,pvals,pvals_adj
Epithelial Cells,EPCAM,144.1856,5.557729,0.0,0.0
Epithelial Cells,KRT19,128.77623,6.0198464,0.0,0.0
Epithelial Cells,DMBT1,128.7083,4.9832177,0.0,0.0
Epithelial Cells,CEACAM1,108.24166,4.092914,0.0,0.0
Epithelial Cells,DUOX2,107.222824,5.8934317,0.0,0.0
Epithelial Cells,OLFM4,100.14951,3.749896,0.0,0.0
Epithelial Cells,CXCL3,100.09794,4.2280197,0.0,0.0
Epithelial Cells,CXCL2,96.35588,3.0499544,0.0,0.0
Epithelial Cells,CD9,89.75775,2.728121,0.0,0.0
Epithelial Cells,UGT2B17,87.005486,5.7033477,0.0,0.0
Myeloid Cells,FCER1G,271.60867,3.584047,0.0,0.0
Myeloid Cells,ITGAX,160.52975,5.371283,0.0,0.0
Myeloid Cells,ZEB2,160.34096,2.1586087,0.0,0.0
Myeloid Cells,CD163,156.80545,2.706146,0.0,0.0
Myeloid Cells,IL1R2,150.28822,5.176683,0.0,0.0
Myeloid Cells,CD55,144.15773,2.1483903,0.0,0.0
Myeloid Cells,HLA-DRA,135.98201,2.372942,0.0,0.0
Myeloid Cells,IFNGR1,135.41261,1.8429348,0.0,0.0
Myeloid Cells,CCR1,111.10876,4.0509124,0.0,0.0
Myeloid Cells,VIM,110.717705,0.8404141,0.0,0.0
Fibroblasts,COL6A3,170.77702,2.673571,0.0,0.0
Fibroblasts,DCN,169.02493,3.7714343,0.0,0.0
Fibroblasts,PDGFRA,141.3191,5.0844646,0.0,0.0
Fibroblasts,C3,134.96046,2.8847136,0.0,0.0
Fibroblasts,CXCL12,108.94444,2.557647,0.0,0.0
Fibroblasts,C7,100.805466,3.9619339,0.0,0.0
Fibroblasts,IL6ST,99.94722,1.541211,0.0,0.0
Fibroblasts,MGP,98.581085,2.2455745,0.0,0.0
Fibroblasts,VIM,98.3606,0.9564469,0.0,0.0
Fibroblasts,PTGIS,93.919624,3.1645615,0.0,0.0
