,precision,recall,f1-score,support
B_Cells,0.4857471264367816,0.7248713550600343,0.5816930488644184,2915.0
Endothelial_Cells,0.37482452035563874,0.5280158206987475,0.43842364532019706,1517.0
Epithelial_Cells,0.7473841554559043,0.8787346221441125,0.8077544426494345,1138.0
Fibroblasts,0.5078447563996696,0.4625799172621286,0.4841566620743948,2659.0
Glia_Cells,0.3608815426997245,0.2635814889336016,0.30465116279069765,497.0
Lymphatic_Endothelial_Cells,0.16304347826086957,0.09316770186335403,0.11857707509881422,161.0
Myeloid_Cells,0.6151006711409396,0.4052619942516029,0.4886045581767293,4523.0
T_Cells,0.5849802371541502,0.5055508112724167,0.5423728813559322,2342.0
Vascular_Smooth_Muscle,0.867165163844293,0.8760275494334593,0.8715738284703802,4501.0
accuracy,0.6048486643953982,0.6048486643953982,0.6048486643953982,0.6048486643953982
macro avg,0.5229968501942189,0.5264212512132731,0.5153119227556665,20253.0
weighted avg,0.6145403953630907,0.6048486643953982,0.599465416051617,20253.0
