,precision,recall,f1-score,support
B_Cells,0.4954850659874971,0.7341337907375644,0.5916505391208183,2915.0
Endothelial_Cells,0.48886138613861385,0.5207646671061306,0.5043089690392595,1517.0
Epithelial_Cells,0.8423728813559322,0.8734622144112478,0.8576358930112166,1138.0
Fibroblasts,0.4962642548171451,0.4746145167356149,0.48519800076893504,2659.0
Glia_Cells,0.41397849462365593,0.30985915492957744,0.35443037974683544,497.0
Lymphatic_Endothelial_Cells,0.16666666666666666,0.08695652173913043,0.11428571428571428,161.0
Myeloid_Cells,0.5990881458966565,0.43577271722308203,0.504543709202611,4523.0
T_Cells,0.5903041825095057,0.5303159692570453,0.5587044534412956,2342.0
Vascular_Smooth_Muscle,0.8767123287671232,0.9242390579871139,0.8998485831711011,4501.0
accuracy,0.6284007307559374,0.6284007307559374,0.6284007307559374,0.6284007307559374
macro avg,0.5521926007514217,0.5433465122362784,0.541178471309754,20253.0
weighted avg,0.6287937391466756,0.6284007307559374,0.6216924187098866,20253.0
