,precision,recall,f1-score,support
B_Cells,0.4971896955503513,0.7283018867924528,0.5909533750869868,2915.0
Endothelial_Cells,0.5040803515379787,0.5293342122610415,0.5163987138263666,1517.0
Epithelial_Cells,0.8502581755593803,0.8681898066783831,0.8591304347826086,1138.0
Fibroblasts,0.4715079916608756,0.5103422339225273,0.4901571247968214,2659.0
Glia_Cells,0.3994708994708995,0.3038229376257545,0.34514285714285714,497.0
Lymphatic_Endothelial_Cells,0.20270270270270271,0.09316770186335403,0.1276595744680851,161.0
Myeloid_Cells,0.623943185661143,0.4079151005969489,0.49331550802139035,4523.0
T_Cells,0.5837610825944937,0.5341588385994877,0.5578595317725753,2342.0
Vascular_Smooth_Muscle,0.8749478949562317,0.9326816263052655,0.9028927841703409,4501.0
accuracy,0.6285982323606379,0.6285982323606379,0.6285982323606379,0.6285982323606379
macro avg,0.5564291088548952,0.5453238160716906,0.5426122115631147,20253.0
weighted avg,0.6317043174333213,0.6285982323606379,0.6211823851332003,20253.0
