,precision,recall,f1-score,support
B_Cells,0.516330451488953,0.7375643224699828,0.6074304280265574,2915.0
Endothelial_Cells,0.46475054229934926,0.5649307844429796,0.5099672716453436,1517.0
Epithelial_Cells,0.8060897435897436,0.8840070298769771,0.8432523051131601,1138.0
Fibroblasts,0.4957789716039908,0.48589695374200825,0.4907882241215575,2659.0
Glia_Cells,0.40458015267175573,0.3199195171026157,0.35730337078651686,497.0
Lymphatic_Endothelial_Cells,0.18055555555555555,0.08074534161490683,0.11158798283261803,161.0
Myeloid_Cells,0.6417759838546923,0.4218439089100155,0.5090715048025614,4523.0
T_Cells,0.5834862385321101,0.5431255337318531,0.5625829279080053,2342.0
Vascular_Smooth_Muscle,0.8747119212235491,0.927571650744279,0.900366616346776,4501.0
accuracy,0.6335851478793265,0.6335851478793265,0.6335851478793265,0.6335851478793265
macro avg,0.5520066178688556,0.5517338936261799,0.543594514620344,20253.0
weighted avg,0.6360656661148978,0.6335851478793265,0.6259370105178355,20253.0
