,precision,recall,f1-score,support
B_Cells,0.5452626022697281,0.7087478559176672,0.6163484486873508,2915.0
Endothelial_Cells,0.43313280888477557,0.6170072511535926,0.5089722675367048,1517.0
Epithelial_Cells,0.8565217391304348,0.8655536028119508,0.861013986013986,1138.0
Fibroblasts,0.513232104121475,0.44490409928544566,0.4766317485898469,2659.0
Glia_Cells,0.47194719471947194,0.28772635814889336,0.3575,497.0
Lymphatic_Endothelial_Cells,0.18292682926829268,0.09316770186335403,0.12345679012345678,161.0
Myeloid_Cells,0.6044924651691783,0.47004200751713465,0.5288557213930348,4523.0
T_Cells,0.5753779697624191,0.5687446626814688,0.5720420871805884,2342.0
Vascular_Smooth_Muscle,0.8790757935651047,0.9044656742946012,0.8915900131406045,4501.0
accuracy,0.6348195329087049,0.6348195329087049,0.6348195329087049,0.6348195329087049
macro avg,0.5624410563212089,0.5511510237415677,0.5484901180739526,20253.0
weighted avg,0.6363646179801504,0.6348195329087049,0.6299462836001827,20253.0
